job_id,title,department,level,skills
J001,Data Analyst,Analytics,Associate,"S001:4,S002:5,S003:4,S005:4,S006:4,S020:3,S021:3"
J002,Senior Data Analyst,Analytics,Senior,"S001:5,S002:5,S003:5,S004:3,S005:4,S006:4,S020:4,S021:4,S022:3"
J003,Data Scientist,Analytics,Mid-level,"S001:5,S002:4,S003:5,S004:5,S005:3,S020:5,S022:4"
J004,Business Analyst,Business,Associate,"S002:3,S003:3,S005:3,S006:5,S010:4,S011:4,S015:3,S021:3"
J005,Financial Analyst,Finance,Associate,"S002:3,S006:5,S013:3,S014:4,S020:3,S029:4"
J006,Senior Financial Analyst,Finance,Senior,"S002:4,S006:5,S013:4,S014:5,S020:4,S029:5,S030:4"
J007,Software Engineer,Technology,Mid-level,"S001:4,S002:3,S018:5,S023:4,S024:3,S019:4"
J008,Senior Software Engineer,Technology,Senior,"S001:5,S002:4,S017:4,S018:5,S019:5,S023:5,S024:4,S028:3"
J009,UI/UX Designer,Technology,Mid-level,"S024:4,S027:5,S010:4,S011:4,S015:3"
J010,Product Manager,Product,Senior,"S009:5,S010:5,S011:5,S012:4,S015:4,S019:4,S026:5"
J011,Marketing Specialist,Marketing,Associate,"S005:3,S010:4,S015:5,S016:3,S025:4"
J012,Senior Marketing Specialist,Marketing,Senior,"S005:4,S010:5,S012:4,S015:5,S016:5,S025:5"
J013,HR Coordinator,HR,Associate,"S006:3,S010:5,S015:5"
J014,HR Business Partner,HR,Senior,"S006:4,S009:4,S010:5,S012:4,S015:5"
J015,IT Support Specialist,IT,Associate,"S006:3,S010:4,S015:5,S017:3,S028:3"
J016,Cybersecurity Analyst,IT,Mid-level,"S001:3,S002:3,S017:4,S028:5,S030:4"
J017,Business Intelligence Analyst,Analytics,Mid-level,"S001:3,S002:5,S003:4,S005:5,S007:5,S008:5,S021:5"
J018,Risk Analyst,Risk,Associate,"S002:3,S006:4,S013:4,S030:4,S020:3"
J019,Digital Marketing Specialist,Marketing,Mid-level,"S005:3,S007:3,S010:4,S016:4,S025:5"
J020,Project Manager,Project Management,Mid-level,"S009:5,S010:4,S011:4,S012:4,S019:5" 
